,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Surface reelle bati,Nombre pieces principales,Surface terrain
805080,30/04/2020,Vente,"507000,00",4.0,RUE,8552,SAINTE ELISABETH,75003.0,AF,117,,68,"40,62",,,,,,,,,1,2.0,37.0,2.0,
805081,15/05/2020,Vente,"79500,00",54.0,RUE,8339,DE ROME,75008.0,BZ,8,,37,,,,,,,,,,1,3.0,0.0,0.0,
805082,22/05/2020,Vente,"257400,00",7.0,RUE,7612,DE PONTHIEU,75008.0,BH,49,,147,"18,64",,,,,,,,,1,2.0,20.0,1.0,
805083,18/05/2020,Vente,"385000,00",14.0,RUE,2412,DES COUTURES SAINT GERVAIS,75003.0,AL,9,,111,"27,28",,,,,,,,,1,2.0,33.0,2.0,
805084,15/05/2020,Vente,"1300000,00",20.0,RUE,5825,DU LOUVRE,75001.0,AT,168,,82,"96,37",,,,,,,,,1,2.0,98.0,3.0,
805085,07/05/2020,Vente,"312807,10",5.0,AV,3824,FRANKLIN D ROOSEVELT,75008.0,AL,12,,13,,,,,,,,,,1,3.0,0.0,0.0,
805086,07/05/2020,Vente,"312807,10",5.0,AV,3824,FRANKLIN D ROOSEVELT,75008.0,AL,12,,12,,44.0,,,,,,,,2,3.0,0.0,0.0,
805087,07/05/2020,Vente,"312807,10",5.0,AV,3824,FRANKLIN D ROOSEVELT,75008.0,AL,12,,14,,,,,,,,,,1,3.0,0.0,0.0,
805088,20/05/2020,Vente,"5600000,00",22.0,RUE,7612,DE PONTHIEU,75008.0,BI,27,,,,,,,,,,,,0,3.0,0.0,0.0,344.0
805089,20/05/2020,Vente,"5600000,00",22.0,RUE,7612,DE PONTHIEU,75008.0,BI,27,,,,,,,,,,,,0,2.0,52.0,3.0,344.0
805090,20/05/2020,Vente,"5600000,00",22.0,RUE,7612,DE PONTHIEU,75008.0,BI,27,,,,,,,,,,,,0,2.0,43.0,2.0,344.0
805091,20/05/2020,Vente,"5600000,00",22.0,RUE,7612,DE PONTHIEU,75008.0,BI,27,,,,,,,,,,,,0,2.0,64.0,3.0,344.0
805092,20/05/2020,Vente,"5600000,00",22.0,RUE,7612,DE PONTHIEU,75008.0,BI,27,,,,,,,,,,,,0,2.0,8.0,1.0,344.0
805093,20/05/2020,Vente,"5600000,00",22.0,RUE,7612,DE PONTHIEU,75008.0,BI,27,,,,,,,,,,,,0,2.0,130.0,5.0,344.0
805094,20/05/2020,Vente,"5600000,00",22.0,RUE,7612,DE PONTHIEU,75008.0,BI,27,,,,,,,,,,,,0,3.0,0.0,0.0,344.0
805095,20/05/2020,Vente,"5600000,00",22.0,RUE,7612,DE PONTHIEU,75008.0,BI,27,,,,,,,,,,,,0,3.0,0.0,0.0,344.0
